OBJECTID,ROW_TYPE,GEOGRAPHY,GEOGRAPHY_ID,CALENDAR_YEAR,CALENDAR_MONTH,OFFENSE_DESCRIPTION,OFFENSE_COUNT
23058,Neighborhood Profile Area,285,285,2016,10,Aggravated Assault-Other Weapon,1
23077,Neighborhood Profile Area,53,53,2016,04,Aggravated Assault-Gun,1
23081,Neighborhood Profile Area,292,292,2016,03,Aggravated Assault-Gun,2
23090,Neighborhood Profile Area,374,374,2016,09,"Aggravated Assault-Fists,Feet, etc.",1
23132,Neighborhood Profile Area,378,378,2016,07,Aggravated Assault-Gun,1
23133,Neighborhood Profile Area,378,378,2016,09,Aggravated Assault-Other Weapon,1
23146,Neighborhood Profile Area,366,366,2016,12,Aggravated Assault-Other Weapon,2
23158,Neighborhood Profile Area,202,202,2016,05,Aggravated Assault-Gun,1
23168,Neighborhood Profile Area,180,180,2016,09,Aggravated Assault-Other Weapon,1
23170,Neighborhood Profile Area,336,336,2016,09,Aggravated Assault-Gun,3
23176,Neighborhood Profile Area,16,16,2016,12,Aggravated Assault-Gun,6
23197,Neighborhood Profile Area,142,142,2016,03,Aggravated Assault-Gun,1
23204,Neighborhood Profile Area,54,54,2016,05,Aggravated Assault-Knife,1
23228,Neighborhood Profile Area,382,382,2016,02,Aggravated Assault-Gun,1
23233,Neighborhood Profile Area,363,363,2016,12,Aggravated Assault-Gun,2
23237,Neighborhood Profile Area,354,354,2016,12,Aggravated Assault-Other Weapon,1
23242,Neighborhood Profile Area,259,259,2016,11,Aggravated Assault-Gun,9
23249,Neighborhood Profile Area,312,312,2016,07,Aggravated Assault-Knife,1
23263,Neighborhood Profile Area,182,182,2016,12,Aggravated Assault-Gun,7
23264,Neighborhood Profile Area,229,229,2016,06,Aggravated Assault-Gun,13
23265,Neighborhood Profile Area,121,121,2016,10,Aggravated Assault-Gun,2
23290,Neighborhood Profile Area,374,374,2016,10,Aggravated Assault-Other Weapon,1
23328,Neighborhood Profile Area,387,387,2016,11,Aggravated Assault-Knife,1
23336,Neighborhood Profile Area,343,343,2016,01,Aggravated Assault-Gun,1
23345,Neighborhood Profile Area,17,17,2016,04,Aggravated Assault-Knife,1
23352,Neighborhood Profile Area,385,385,2016,12,Aggravated Assault-Other Weapon,1
23377,Neighborhood Profile Area,53,53,2016,02,Aggravated Assault-Knife,1
23385,Neighborhood Profile Area,101,101,2016,03,Aggravated Assault-Knife,2
23389,Neighborhood Profile Area,54,54,2016,02,Aggravated Assault-Knife,1
23463,Neighborhood Profile Area,37,37,2016,08,Aggravated Assault-Other Weapon,1
23523,Neighborhood Profile Area,259,259,2016,12,Aggravated Assault-Knife,1
23537,Neighborhood Profile Area,10,10,2016,02,Aggravated Assault-Gun,1
23551,Neighborhood Profile Area,387,387,2016,07,Aggravated Assault-Other Weapon,1
23561,Neighborhood Profile Area,162,162,2016,02,Aggravated Assault-Other Weapon,2
23565,Neighborhood Profile Area,64,64,2016,05,Aggravated Assault-Other Weapon,2
23567,Neighborhood Profile Area,128,128,2016,08,Aggravated Assault-Gun,7
23571,Neighborhood Profile Area,344,344,2016,02,"Aggravated Assault-Fists,Feet, etc.",1
23586,Neighborhood Profile Area,361,361,2016,07,Aggravated Assault-Other Weapon,1
23595,Neighborhood Profile Area,387,387,2016,06,Aggravated Assault-Gun,2
23613,Neighborhood Profile Area,368,368,2016,04,Aggravated Assault-Knife,1
23614,Neighborhood Profile Area,158,158,2016,07,Aggravated Assault-Gun,1
23620,Neighborhood Profile Area,382,382,2016,11,Aggravated Assault-Gun,2
23626,Neighborhood Profile Area,5,5,2016,12,Aggravated Assault-Gun,3
23638,Neighborhood Profile Area,356,356,2016,03,Aggravated Assault-Other Weapon,1
23672,Neighborhood Profile Area,86,86,2016,09,Aggravated Assault-Gun,2
23676,Neighborhood Profile Area,220,220,2016,08,Aggravated Assault-Gun,1
23677,Neighborhood Profile Area,145,145,2016,01,Aggravated Assault-Gun,1
23681,Neighborhood Profile Area,376,376,2016,04,Aggravated Assault-Gun,1
23684,Neighborhood Profile Area,66,66,2016,07,Aggravated Assault-Knife,2
23705,Neighborhood Profile Area,339,339,2016,04,Aggravated Assault-Other Weapon,1
23726,Neighborhood Profile Area,101,101,2016,03,Aggravated Assault-Gun,1
23747,Neighborhood Profile Area,46,46,2016,08,Aggravated Assault-Other Weapon,2
23762,Neighborhood Profile Area,83,83,2016,03,Aggravated Assault-Other Weapon,1
23774,Neighborhood Profile Area,348,348,2016,11,Aggravated Assault-Gun,1
23783,Neighborhood Profile Area,323,323,2016,05,Aggravated Assault-Other Weapon,3
23796,Neighborhood Profile Area,140,140,2016,06,Aggravated Assault-Gun,2
